id	filename	md5	size	state
f367e9fc-0397-459d-b58b-06bffb4599c3	e95d6e6b-6aaf-4003-9dc6-4b464a9d1725.FPKM.txt.gz	b99030e17340f257a36a6ac2c87d9340	507733	released
5fc29626-6543-4538-9bad-2f4d20bdb058	5fc29626-6543-4538-9bad-2f4d20bdb058.vcf	029a72b861da4d78f8b65ff8c4f75b9f	5981690	released
e06784a5-62fc-4ed3-a699-a94c6927d434	e06784a5-62fc-4ed3-a699-a94c6927d434.vep.vcf.gz	6672133bd2bae5ae820e5144fdc10805	1349397	released
eeee0a75-d3bf-47dd-a4b8-1d15e16cafce	C509.TCGA-55-A491-01A-11D-A24D-08.2_gdc_realn.bam	ff4aa0c3fb794bdf48206f011b13f509	8106309342	released
469cd637-42dd-444f-acae-ce730f8a1df6	07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead.bam	2e0ad49127e35491ae0d57260473af4f	3886546350	released
988e40e7-ee82-463c-bb06-de850bbad4c6	988e40e7-ee82-463c-bb06-de850bbad4c6.vcf.gz	6cef5deb301c6ede9610636726fa4ab8	187422	released
fdcefb0e-dd7b-445d-b2c7-5dfb75a3cd6c	nationwidechildrens.org_clinical.TCGA-97-7554.xml	fe54cb62a72037642a0ac47504490293	47647	released
22c6bebe-ef90-4a99-84fb-2c33a3807c37	BURST_p_TCGA_b119_SNP_N_GenomeWideSNP_6_D09_787244.grch38.seg.v2.txt	bc556ff48267462e60a982d37b7ec3d8	30649	released
e560ebb6-9951-4baa-b96b-b852d067a487	TCGA-LUAD.74402b4a-1429-445b-98fa-f1950f04810e.gene_level_copy_number.tsv	bef822a798bed327a7d7dc25f26b1b85	3487309	released
82f544b7-18df-4927-9140-fef2a29deedf	nationwidechildrens.org_clinical.TCGA-50-6595.xml	3c9b7ae04ff4f88e93ae9472ed2e3bb3	45635	released
d4a1e710-84be-4abf-9c02-d4ad56bae665	nationwidechildrens.org_clinical.TCGA-55-7995.xml	732b5a55f14e96368e03002ebeecac57	51966	released
9a74a115-0126-42bb-a545-abf1ecd3f0cc	TCGA-50-5066-02A-11H-2089-13_mirna_gdc_realn.bam	cd00ab5bfe90631601ec8073d1465988	87886147	released
c89147be-4fcd-49aa-bc03-9869d4b1970c	c89147be-4fcd-49aa-bc03-9869d4b1970c.vep.vcf.gz	9596ede7738a0c1c64f0c92a7b3efc55	178153	released
